estacion,latitud,longitud,altitud_msnm,municipio,area_hidrografica,codigo_area,cuenca,departamento,municipio_estacion,fecha_muestreo,parametro,valor,unidad,fuente,codigo_registro
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-04-02,CONDUCTIVIDAD ELECTRICA,130.0,µS/cm,Ideam,11456
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-04-02,pH,5.0,Unidades de pH,Ideam,11456
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-04-02,OXIGENO DISUELTO (OD),3.0,mg O2/L,Ideam,11456
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-04-02,SULFATO,27.2,mg SO4-2/L,Ideam,11456
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-04-02,NITROGENO AMONIACAL,0.89,mg N-NH3-/L,Ideam,11456
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-04-02,TEMPERATURA,15.2,°C,Ideam,11456
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-04-02,NITRITO,0.016,mg N-NO2-/L,Ideam,11456
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-04-02,NITRATO,0.18,mg N-NO3-/L,Ideam,11456
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-04-02,TURBIDEZ,17.0,NTU,Ideam,11456
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-04-02,FOSFORO REACTIVO DISUELTO,,mg P-PO4-3/L,Ideam,11456
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-04-02,DEMANDA QUIMICA DE OXIGENO (DQO),,mg O2/L,Ideam,11456
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-04-02,SOLIDOS SUSPENDIDOS TOTALES,17.0,mg/L,Ideam,11456
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-08-25,FOSFORO REACTIVO DISUELTO,0.033,mg P-PO4-3/L,Ideam,12100
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-08-25,SULFATO,34.0,mg SO4-2/L,Ideam,12100
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-08-25,NITRITO,0.0063,mg N-NO2-/L,Ideam,12100
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-08-25,TEMPERATURA,10.8,°C,Ideam,12100
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-08-25,OXIGENO DISUELTO (OD),7.1,mg O2/L,Ideam,12100
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-08-25,SOLIDOS SUSPENDIDOS TOTALES,110.0,mg/L,Ideam,12100
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-08-25,NITROGENO AMONIACAL,0.15,mg N-NH3-/L,Ideam,12100
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-08-25,DEMANDA QUIMICA DE OXIGENO (DQO),48.0,mg O2/L,Ideam,12100
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-08-25,pH,7.44,Unidades de pH,Ideam,12100
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-08-25,NITRATO,0.26,mg N-NO3-/L,Ideam,12100
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-08-25,TURBIDEZ,58.0,NTU,Ideam,12100
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2005-08-25,CONDUCTIVIDAD ELECTRICA,230.0,µS/cm,Ideam,12100
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-07-01,DEMANDA QUIMICA DE OXIGENO (DQO),28.0,mg O2/L,Ideam,13604
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-07-01,NITRATO,0.45,mg N-NO3-/L,Ideam,13604
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-07-01,TURBIDEZ,39.0,NTU,Ideam,13604
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-07-01,NITRITO,,mg N-NO2-/L,Ideam,13604
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-07-01,FOSFORO REACTIVO DISUELTO,,mg P-PO4-3/L,Ideam,13604
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-07-01,NITROGENO AMONIACAL,,mg N-NH3-/L,Ideam,13604
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-07-01,TEMPERATURA,15.2,°C,Ideam,13604
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-07-01,SOLIDOS SUSPENDIDOS TOTALES,35.0,mg/L,Ideam,13604
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-07-01,SULFATO,14.4,mg SO4-2/L,Ideam,13604
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-07-01,pH,6.66,Unidades de pH,Ideam,13604
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-07-01,CONDUCTIVIDAD ELECTRICA,78.7,µS/cm,Ideam,13604
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-07-01,OXIGENO DISUELTO (OD),7.4,mg O2/L,Ideam,13604
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-12-15,TURBIDEZ,29.0,NTU,Ideam,14242
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-12-15,pH,6.1,Unidades de pH,Ideam,14242
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-12-15,DEMANDA QUIMICA DE OXIGENO (DQO),40.0,mg O2/L,Ideam,14242
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-12-15,NITROGENO AMONIACAL,0.3,mg N-NH3-/L,Ideam,14242
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-12-15,NITRATO,0.45,mg N-NO3-/L,Ideam,14242
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-12-15,OXIGENO DISUELTO (OD),7.4,mg O2/L,Ideam,14242
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-12-15,SOLIDOS SUSPENDIDOS TOTALES,36.0,mg/L,Ideam,14242
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-12-15,TEMPERATURA,14.7,°C,Ideam,14242
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-12-15,CONDUCTIVIDAD ELECTRICA,87.9,µS/cm,Ideam,14242
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-12-15,NITRITO,0.0091,mg N-NO2-/L,Ideam,14242
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-12-15,SULFATO,8.7,mg SO4-2/L,Ideam,14242
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2006-12-15,FOSFORO REACTIVO DISUELTO,,mg P-PO4-3/L,Ideam,14242
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-03-15,TURBIDEZ,12.0,NTU,Ideam,14676
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-03-15,FOSFORO REACTIVO DISUELTO,0.062,mg P-PO4-3/L,Ideam,14676
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-03-15,NITROGENO AMONIACAL,0.72,mg N-NH3-/L,Ideam,14676
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-03-15,NITRATO,0.25,mg N-NO3-/L,Ideam,14676
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-03-15,TEMPERATURA,14.1,°C,Ideam,14676
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-03-15,SULFATO,16.0,mg SO4-2/L,Ideam,14676
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-03-15,SOLIDOS SUSPENDIDOS TOTALES,69.0,mg/L,Ideam,14676
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-03-15,CONDUCTIVIDAD ELECTRICA,98.6,µS/cm,Ideam,14676
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-03-15,NITRITO,,mg N-NO2-/L,Ideam,14676
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-03-15,DEMANDA QUIMICA DE OXIGENO (DQO),17.0,mg O2/L,Ideam,14676
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-06-25,DEMANDA QUIMICA DE OXIGENO (DQO),41.0,mg O2/L,Ideam,15094
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-06-25,SULFATO,12.0,mg SO4-2/L,Ideam,15094
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-06-25,TURBIDEZ,38.0,NTU,Ideam,15094
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-06-25,FOSFORO REACTIVO DISUELTO,,mg P-PO4-3/L,Ideam,15094
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-06-25,NITROGENO AMONIACAL,,mg N-NH3-/L,Ideam,15094
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-06-25,NITRATO,0.4,mg N-NO3-/L,Ideam,15094
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-06-25,SOLIDOS SUSPENDIDOS TOTALES,32.0,mg/L,Ideam,15094
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-06-25,pH,5.44,Unidades de pH,Ideam,15094
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-06-25,TEMPERATURA,14.2,°C,Ideam,15094
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-06-25,NITRITO,0.01,mg N-NO2-/L,Ideam,15094
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-06-25,CONDUCTIVIDAD ELECTRICA,73.9,µS/cm,Ideam,15094
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-10-30,NITROGENO AMONIACAL,,mg N-NH3-/L,Ideam,15599
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-10-30,FOSFORO REACTIVO DISUELTO,,mg P-PO4-3/L,Ideam,15599
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-10-30,pH,6.06,Unidades de pH,Ideam,15599
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-10-30,DEMANDA QUIMICA DE OXIGENO (DQO),30.0,mg O2/L,Ideam,15599
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-10-30,TURBIDEZ,71.0,NTU,Ideam,15599
RCA_LENGUAZAQUE_CUN_LENGUAZAQUE_BOQUERON [24017610],5.32825,-73.69972222,2590,LENGUAZAQUE,Sogamoso,2401,Río Suárez,CUNDINAMARCA,LENGUAZAQUE,2007-10-30,OXIGENO DISUELTO (OD),6.8,mg O2/L,Ideam,15599
