periodo,mes,precip,tmed,brillo,eto,dias_lluvia
1961-1990,1,42.6,14.7,,58.99,5.7
1961-1990,2,54.6,14.9,,54.84,7.7
1961-1990,3,106.9,15.1,,61.92,11.1
1961-1990,4,159.5,14.8,,58.99,15.0
1961-1990,5,103.8,14.7,,60.15,11.9
1961-1990,6,60.2,14.3,,56.7,8.0
1961-1990,7,37.1,14.0,,56.61,6.4
1961-1990,8,45.1,14.2,,57.23,6.8
1961-1990,9,70.2,14.2,,55.58,8.3
1961-1990,10,153.5,14.2,,56.68,14.5
1961-1990,11,138.3,14.4,,55.59,15.9
1961-1990,12,67.6,14.5,,57.84,8.9
1971-2000,1,55.8,14.7,,58.99,6.4
1971-2000,2,60.8,14.9,,54.85,8.6
1971-2000,3,129.9,15.0,,61.33,13.2
1971-2000,4,153.8,14.8,,58.99,15.0
1971-2000,5,115.4,14.8,,60.74,12.8
1971-2000,6,51.8,14.4,,57.27,7.8
1971-2000,7,42.3,14.1,,57.2,7.0
1971-2000,8,48.7,14.1,,56.65,7.5
1971-2000,9,80.1,14.2,,55.58,9.6
1971-2000,10,159.7,14.2,,56.68,14.6
1971-2000,11,140.4,14.3,,55.03,16.2
1971-2000,12,86.5,14.5,,57.84,9.6
1981-2010,1,57.5,14.6,,58.51,6.9
1981-2010,2,64.2,14.8,,54.4,9.0
1981-2010,3,128.0,14.9,,60.83,13.1
1981-2010,4,151.1,14.8,,59.08,15.0
1981-2010,5,119.8,14.7,,60.24,13.4
1981-2010,6,44.4,14.4,,57.36,7.7
1981-2010,7,48.5,14.1,,57.29,7.3
1981-2010,8,39.3,14.1,,56.74,7.1
1981-2010,9,73.5,14.2,,55.67,9.3
1981-2010,10,158.4,14.2,,56.77,14.7
1981-2010,11,149.9,14.4,,55.67,15.9
1981-2010,12,98.0,14.5,,57.93,10.2
1991-2020,1,59.3,14.6,7.2,58.06,7.2
1991-2020,2,64.7,14.9,6.7,54.52,9.1
1991-2020,3,135.7,14.9,5.4,60.39,14.0
1991-2020,4,147.8,14.9,4.4,59.21,14.9
1991-2020,5,120.9,14.9,4.3,60.97,13.3
1991-2020,6,47.6,14.6,4.8,58.06,8.4
1991-2020,7,44.7,14.3,5.2,58.0,7.2
1991-2020,8,34.6,14.3,5.3,57.45,6.5
1991-2020,9,58.2,14.4,5.1,56.36,8.1
1991-2020,10,137.8,14.4,5.0,57.47,13.5
1991-2020,11,170.5,14.5,5.0,55.8,16.0
1991-2020,12,103.3,14.5,6.3,57.49,10.5
