system:index,buchon_ha,month,nubes_vacios_ha,roi_total_ha,tierra_junco_ha,total_visible_ha,water_ha,year,.geo
0,982,1,9,2184.0,573,2175,620,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,780,2,649,2184.0,459,1535,296,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,652,3,407,2184.0,801,1777,324,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,739,4,590,2184.0,559,1594,296,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,826,5,774,2184.0,317,1410,267,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,536,6,1230,2184.0,220,954,198,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,247,7,1687,2184.0,122,497,128,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,44,8,1861,2184.0,279,323,0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,125,9,1438,2184.0,608,746,13,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,483,10,903,2184.0,659,1281,139,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1150,11,9,2184.0,529,2175,496,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,28,12,2122,2184.0,33,62,1,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,138,1,1842,2184.0,128,342,76,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,247,2,1563,2184.0,224,621,150,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,256,3,1623,2184.0,216,561,89,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,252,4,1882,2184.0,44,302,6,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,193,5,1949,2184.0,33,235,9,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,133,6,2017,2184.0,23,167,11,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,74,7,2084,2184.0,12,100,14,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,364,8,1508,2184.0,149,676,163,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,294,9,1574,2184.0,251,610,65,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1,10,2182,2184.0,1,2,0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1156,11,33,2184.0,520,2151,475,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1341,12,74,2184.0,197,2110,572,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,1236,1,90,2184.0,344,2094,515,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1131,2,105,2184.0,490,2079,458,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,589,3,11,2184.0,330,2173,1254,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,941,4,363,2184.0,458,1821,422,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,552,5,1168,2184.0,251,1016,214,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,162,6,1972,2184.0,44,212,6,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,312,7,1534,2184.0,120,650,219,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,462,8,1095,2184.0,195,1089,432,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,252,9,1478,2184.0,130,706,324,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,83,10,1869,2184.0,56,315,176,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,414,11,1044,2184.0,398,1140,328,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,599,12,9,2184.0,0,2175,1576,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,411,1,12,2184.0,0,2172,1761,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,464,2,9,2184.0,0,2175,1711,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,292,3,9,2184.0,0,2175,1883,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,255,4,105,2184.0,0,2079,1824,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,1,5,1746,2184.0,0,438,437,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,121,6,263,2184.0,0,1921,1800,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,201,7,219,2184.0,0,1965,1764,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,63,8,102,2184.0,0,2082,2019,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,9,2126,2184.0,0,58,58,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,152,10,30,2184.0,0,2154,2002,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,31,11,105,2184.0,0,2079,2048,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,426,12,31,2184.0,0,2153,1727,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,358,1,9,2184.0,0,2175,1817,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,252,2,9,2184.0,0,2175,1923,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,178,3,10,2184.0,0,2174,1996,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2,4,49,2184.0,0,2135,2133,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,1,5,1421,2184.0,0,763,762,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,7,6,1652,2184.0,0,532,525,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,79,7,879,2184.0,0,1305,1226,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,151,8,106,2184.0,0,2078,1927,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,196,9,19,2184.0,0,2165,1969,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,171,10,167,2184.0,0,2017,1846,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,430,11,65,2184.0,0,2119,1689,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,243,12,10,2184.0,0,2174,1931,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,289,1,9,2184.0,0,2175,1886,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,40,2,64,2184.0,0,2120,2080,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,118,3,12,2184.0,0,2172,2054,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,65,4,148,2184.0,0,2036,1971,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0,5,1540,2184.0,0,644,644,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,78,6,72,2184.0,0,2112,2034,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,122,7,420,2184.0,0,1764,1642,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,91,8,1045,2184.0,0,1139,1048,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,25,9,315,2184.0,0,1869,1844,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0,10,13,2184.0,0,2171,2171,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,18,11,15,2184.0,0,2169,2151,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,82,12,11,2184.0,0,2173,2091,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,199,1,9,2184.0,0,2175,1976,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,129,2,9,2184.0,0,2175,2046,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,40,3,35,2184.0,0,2149,2109,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0,4,2012,2184.0,0,172,172,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,344,5,9,2184.0,0,2175,1831,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,168,6,82,2184.0,0,2102,1934,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0,7,1969,2184.0,0,215,215,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0,8,2125,2184.0,0,59,59,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,40,9,414,2184.0,0,1770,1730,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,80,10,372,2184.0,0,1812,1732,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,36,11,9,2184.0,0,2175,2139,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,1,12,9,2184.0,0,2175,2174,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,651,1,9,2184.0,0,2175,1524,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,546,2,9,2184.0,0,2175,1629,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,465,3,419,2184.0,0,1765,1300,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,231,4,1357,2184.0,0,827,596,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,403,5,9,2184.0,0,2175,1772,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,250,6,9,2184.0,0,2175,1925,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,260,7,126,2184.0,0,2058,1797,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,271,8,244,2184.0,0,1940,1669,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,258,9,158,2184.0,0,2026,1768,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,101,10,1019,2184.0,0,1165,1064,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,70,11,201,2184.0,0,1983,1913,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,511,12,23,2184.0,0,2161,1650,2023,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,457,1,10,2184.0,0,2174,1717,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,398,2,9,2184.0,0,2175,1777,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,253,3,9,2184.0,0,2175,1922,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,113,4,9,2184.0,0,2175,2062,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,0,5,1392,2184.0,0,792,792,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,0,6,1927,2184.0,0,257,257,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,23,7,196,2184.0,0,1988,1965,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,191,8,465,2184.0,0,1719,1528,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,105,9,19,2184.0,0,2165,2060,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,0,10,1120,2184.0,0,1064,1064,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,244,11,66,2184.0,0,2118,1874,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,261,12,10,2184.0,0,2174,1913,2024,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,645,1,9,2184.0,0,2175,1530,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,335,2,283,2184.0,0,1901,1566,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,0,3,1191,2184.0,0,993,993,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,246,4,138,2184.0,0,2046,1800,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,123,5,697,2184.0,0,1487,1364,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,0,6,1256,2184.0,0,928,928,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,269,7,10,2184.0,0,2174,1905,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,32,8,9,2184.0,0,2175,2143,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,175,9,922,2184.0,0,1262,1087,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,127,10,932,2184.0,0,1252,1125,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,156,11,19,2184.0,0,2165,2009,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,448,12,9,2184.0,0,2175,1727,2025,"{""type"":""MultiPoint"",""coordinates"":[]}"
