fecha_muestreo,conductividad,dqo,fosforo_total,nitrato,nitrito,nitrogeno_amoniacal,oxigeno_disuelto,solidos_suspendidos,sulfato,temperatura_agua,turbidez,ph
2005-04-02,130.0,,,0.18,0.016,0.89,3.0,17.0,27.2,15.2,17.0,5.0
2005-08-25,230.0,48.0,,0.26,0.0063,0.15,7.1,110.0,34.0,10.8,58.0,7.44
2006-07-01,78.7,28.0,,0.45,,,7.4,35.0,14.4,15.2,39.0,6.66
2006-12-15,87.9,40.0,,0.45,0.0091,0.3,7.4,36.0,8.7,14.7,29.0,6.1
2007-03-15,98.6,17.0,,0.25,,0.72,,69.0,16.0,14.1,12.0,
2007-06-25,73.9,41.0,,0.4,0.01,,,32.0,12.0,14.2,38.0,5.44
2007-10-30,104.0,30.0,,0.72,0.0062,,6.8,49.0,18.0,15.5,71.0,6.06
2007-12-13,120.0,24.0,,0.47,0.018,,4.7,23.0,23.0,14.6,30.0,6.07
2008-04-22,114.0,21.0,,0.45,0.024,0.78,6.4,5.2,17.0,15.5,12.0,6.57
2008-07-22,93.9,61.0,,0.36,0.0066,,6.5,36.0,11.0,13.0,34.0,6.17
2008-09-22,113.0,25.0,,0.37,0.0091,,4.4,30.0,20.0,14.6,16.0,6.07
2008-12-10,109.0,17.0,,0.4,,,5.7,38.0,22.0,14.7,37.0,6.26
2009-03-24,124.0,10.0,0.073,0.42,0.012,0.15,6.0,9.7,30.0,14.7,16.0,6.5
2009-06-11,128.1,14.0,0.16,0.43,0.037,0.36,4.9,11.0,24.0,15.3,14.0,6.28
2009-10-17,59.5,46.0,0.15,0.19,0.0064,,6.7,56.0,,12.3,69.0,5.38
2010-03-16,111.0,24.0,0.28,0.019,,2.2,2.5,19.0,,17.3,16.0,6.0
2010-06-02,130.3,56.0,0.23,0.83,,0.096,5.4,80.0,27.0,16.0,66.0,5.41
2010-08-09,110.1,19.0,0.12,0.43,0.0073,0.26,6.0,20.0,20.0,15.7,20.0,6.35
2010-11-23,111.6,25.0,0.11,0.42,0.0085,0.096,5.3,40.0,24.0,17.2,43.0,6.43
2011-02-06,126.7,32.0,0.21,0.55,0.01,,5.9,120.0,35.0,14.6,160.0,6.39
2011-07-06,122.8,12.0,0.14,0.58,0.0084,,6.4,35.0,26.0,13.5,44.0,6.35
2011-10-05,96.6,23.0,0.11,0.42,0.012,,5.1,34.0,,14.1,54.0,6.65
2012-04-14,67.6,76.0,0.21,0.76,0.0065,,7.1,300.0,20.0,14.2,300.0,6.39
2012-08-03,79.1,22.0,0.21,0.52,0.0082,,6.5,75.0,14.0,14.2,70.0,6.63
2012-10-26,94.2,22.0,0.21,0.53,,,6.8,61.0,9.1,17.9,56.0,6.78
2013-02-27,110.0,23.0,0.17,0.38,0.032,0.59,6.6,38.0,24.0,15.1,34.0,6.09
2013-05-29,130.8,20.0,0.18,0.36,0.014,0.37,6.01,26.0,24.0,15.2,31.0,6.48
2013-10-10,90.3,15.0,0.18,0.38,0.02,0.33,6.1,5.3,15.0,15.4,12.0,6.0
2013-11-23,112.4,24.0,0.19,0.39,0.017,,5.2,24.0,23.0,17.1,14.0,6.22
2014-10-23,109.9,16.0,0.17,,0.063,0.54,4.1,9.2,,14.8,6.1,6.74
2015-05-14,96.0,13.0,,0.47,0.092,0.453,4.9,4.6,,16.4,4.2,6.26
2015-10-02,87.1,53.0,0.27,0.42,0.18,1.1,4.9,21.0,,16.9,5.9,6.93
2015-11-11,88.76,21.0,0.18,0.5,0.014,,,,,20.9,6.2,7.1
2016-05-15,74.2,26.0,0.17,0.56,0.016,,4.3,,,16.3,19.0,7.29
2016-07-27,71.18,25.0,0.12,0.73,0.013,,4.8,10.0,,13.6,14.0,6.61
2016-09-09,69.32,,0.11,0.38,0.018,,5.3,7.2,,,10.0,6.82
2017-02-14,117.1,14.0,0.14,0.33,0.15,0.52,5.7,4.8,,15.2,7.0,7.03
2017-05-21,124.0,37.0,0.16,0.61,0.0092,,7.0,50.0,,16.1,48.0,6.34
2017-09-10,111.4,17.0,0.34,0.43,0.024,0.41,,41.0,,,38.0,6.89
2018-03-21,105.8,13.0,0.23,0.42,0.055,0.86,3.9,,,16.2,5.2,6.79
2018-06-23,115.0,,,,,,7.6,,,14.8,,6.08
2018-09-19,99.9,15.0,0.17,0.36,0.013,0.16,6.0,13.0,,13.8,13.0,6.69
2019-05-27,178.0,39.0,0.29,0.56,0.032,0.86,5.2,32.0,,16.0,34.4,6.74
2019-08-17,63.0,,0.13,0.5,0.008,0.11,6.7,40.0,7.52,12.1,38.3,6.56
2020-02-18,160.0,23.0,0.27,0.26,0.013,3.0,3.1,,17.48,14.8,8.8,6.73
2020-12-12,168.0,11.0,0.11,0.42,0.01,0.23,6.0,14.0,45.28,14.6,11.0,7.12
2021-07-10,152.0,18.0,0.15,0.49,0.009,0.62,6.9,34.0,37.0,13.3,50.0,6.55
2022-05-20,125.0,23.0,0.1,0.31,0.12,0.22,5.5,52.0,29.02,14.4,24.0,
2022-05-26,,,,,,,,,,,,7.12
2023-07-20,105.0,24.0,0.17,0.272,0.015,,6.1,68.0,19.3,13.4,65.0,7.2
2023-09-05,15.0,20.0,0.097,0.398,0.019,,5.4,12.0,17.7,13.8,17.0,7.57
2024-03-18,173.0,27.0,0.5,0.087,0.0091,3.5,2.6,12.0,17.7,16.4,11.0,7.56
2024-06-24,142.0,28.0,0.19,0.304,0.024,0.19,6.1,71.0,20.911,14.4,65.0,6.78
