system:index,buchon_ha,month,nubes_vacios_ha,roi_total_ha,tierra_junco_ha,total_visible_ha,water_ha,year,.geo
0,982.0,1,9.0,2184.0,573.0,2175.0,620.0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,780.0,2,649.0,2184.0,459.0,1535.0,296.0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,652.0,3,407.0,2184.0,801.0,1777.0,324.0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0,4,2184.0,2184.0,0,0,0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,826.0,5,774.0,2184.0,317.0,1410.0,267.0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0,6,2184.0,2184.0,0,0,0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,247.0,7,1687.0,2184.0,122.0,497.0,128.0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,44.0,8,1861.0,2184.0,279.0,323.0,0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,125.0,9,1438.0,2184.0,608.0,746.0,13.0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,483.0,10,903.0,2184.0,659.0,1281.0,139.0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1150.0,11,9.0,2184.0,529.0,2175.0,496.0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,28.0,12,2122.0,2184.0,33.0,62.0,1.0,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0,1,2184.0,2184.0,0,0,0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,247.0,2,1563.0,2184.0,224.0,621.0,150.0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,256.0,3,1623.0,2184.0,216.0,561.0,89.0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,252.0,4,1882.0,2184.0,44.0,302.0,6.0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0,5,2184.0,2184.0,0,0,0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0,6,2184.0,2184.0,0,0,0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,74.0,7,2084.0,2184.0,12.0,100.0,14.0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,364.0,8,1508.0,2184.0,149.0,676.0,163.0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,294.0,9,1574.0,2184.0,251.0,610.0,65.0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,1.0,10,2182.0,2184.0,1.0,2.0,0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,1156.0,11,33.0,2184.0,520.0,2151.0,475.0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,1341.0,12,74.0,2184.0,197.0,2110.0,572.0,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0,1,2184.0,2184.0,0,0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,1131.0,2,105.0,2184.0,490.0,2079.0,458.0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,589.0,3,11.0,2184.0,330.0,2173.0,1254.0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,941.0,4,363.0,2184.0,458.0,1821.0,422.0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,0,5,2184.0,2184.0,0,0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,162.0,6,1972.0,2184.0,44.0,212.0,6.0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,0,7,2184.0,2184.0,0,0,0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,462.0,8,1095.0,2184.0,195.0,1089.0,432.0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,252.0,9,1478.0,2184.0,130.0,706.0,324.0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,83.0,10,1869.0,2184.0,56.0,315.0,176.0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,414.0,11,1044.0,2184.0,398.0,1140.0,328.0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,599.0,12,9.0,2184.0,0,2175.0,1576.0,2018,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,411.0,1,12.0,2184.0,0,2172.0,1761.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,464.0,2,9.0,2184.0,0,2175.0,1711.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,292.0,3,9.0,2184.0,0,2175.0,1883.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,255.0,4,105.0,2184.0,0,2079.0,1824.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,1.0,5,1746.0,2184.0,0,438.0,437.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,121.0,6,263.0,2184.0,0,1921.0,1800.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,201.0,7,219.0,2184.0,0,1965.0,1764.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,63.0,8,102.0,2184.0,0,2082.0,2019.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,0,9,2126.0,2184.0,0,58.0,58.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,152.0,10,30.0,2184.0,0,2154.0,2002.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,31.0,11,105.0,2184.0,0,2079.0,2048.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,426.0,12,31.0,2184.0,0,2153.0,1727.0,2019,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,358.0,1,9.0,2184.0,0,2175.0,1817.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,252.0,2,9.0,2184.0,0,2175.0,1923.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,178.0,3,10.0,2184.0,0,2174.0,1996.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2.0,4,49.0,2184.0,0,2135.0,2133.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,1.0,5,1421.0,2184.0,0,763.0,762.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,7.0,6,1652.0,2184.0,0,532.0,525.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,0,7,2184.0,2184.0,0,0.0,0.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,151.0,8,106.0,2184.0,0,2078.0,1927.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,196.0,9,19.0,2184.0,0,2165.0,1969.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,171.0,10,167.0,2184.0,0,2017.0,1846.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,430.0,11,65.0,2184.0,0,2119.0,1689.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,243.0,12,10.0,2184.0,0,2174.0,1931.0,2020,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,289.0,1,9.0,2184.0,0,2175.0,1886.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,40.0,2,64.0,2184.0,0,2120.0,2080.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,118.0,3,12.0,2184.0,0,2172.0,2054.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,65.0,4,148.0,2184.0,0,2036.0,1971.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,0,5,1540.0,2184.0,0,644.0,644.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,78.0,6,72.0,2184.0,0,2112.0,2034.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,122.0,7,420.0,2184.0,0,1764.0,1642.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,91.0,8,1045.0,2184.0,0,1139.0,1048.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,25.0,9,315.0,2184.0,0,1869.0,1844.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,0,10,13.0,2184.0,0,2171.0,2171.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,18.0,11,15.0,2184.0,0,2169.0,2151.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,82.0,12,11.0,2184.0,0,2173.0,2091.0,2021,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,199.0,1,9.0,2184.0,0,2175.0,1976.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,129.0,2,9.0,2184.0,0,2175.0,2046.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,40.0,3,35.0,2184.0,0,2149.0,2109.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,0,4,2012.0,2184.0,0,172.0,172.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,344.0,5,9.0,2184.0,0,2175.0,1831.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,168.0,6,82.0,2184.0,0,2102.0,1934.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,0.0,7,1969.0,2184.0,0,215.0,215.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,0,8,2125.0,2184.0,0,59.0,59.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,40.0,9,414.0,2184.0,0,1770.0,1730.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,80.0,10,372.0,2184.0,0,1812.0,1732.0,2022,"{""type"":""MultiPoint"",""coordinates"":[]}"
