C A R - CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA;;;;;;;;;;;;;;;;;;;;;;;;;
SICLICA - Sistema de Información Climatológica e Hidrológica;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VALORES MÁXIMOS MENSUALES DE NIVELES (cms);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;ESTACIÓN :  2401721  CHALET NORTE;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Latitud;"5° 27' 48,2"" N";;X=N=1095910;;;;Departamento;;;CUNDINAMARCA;;;;;Corriente;;LAG. FÚQUENE;;;Categoría;;;;LM;
Longitud;"73° 46' 8,1"" W";;Y=E=1034200;;;;Municipio;;;FUQUENE;;;;;Cuenca;;LAG. FÚQUENE;;;Fecha Instalación;;;;8-ene;
Elevación;2568 m.s.n.m;;;;;;Oficina Provincial;;;14  UBATÉ;;;;;;;;;;Fecha Suspensión;;;; ;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
AÑO;;;ENERO;;FEBRE;;MARZO;;ABRIL;;MAYO;;JUNIO;;JULIO;;AGOST;;SEPTI;;OCTUB;;NOVIE;;DICIE
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;110;;118;;;;;;;;;;;;;;
2006;;;155;;131;;126;;122;;261;;226;;182;;140;;126;;134;;;;
2007;;;139;;133;;124;;;;;;;;138;;133;;129;;161;;152;;1321
2008;;;138;;133;;132;;129;;178;;180;;141;;138;;136;;127;;186;;199
2009;;;149;;140;;133;;145;;125;;136;;133;;128;;125;;130;;144;;142
2010;;;128;;100;;93;;115;;172;;177;;213;;173;;116;;129;;172;;203
2011;;;138;;122;;210;;290;;327;;305;;198;;148;;118;;176;;256;;283
2012;;;213;;151;;125;;254;;238;;152;;140;;142;;130;;142;;140;;148
2013;;;142;;137;;132;;127;;157;;138;;129;;118;;117;;117;;146;;153
2014;;;145;;136;;143;;135;;141;;132;;125;;120;;106;;95;;138;;152
2015;;;140;;139;;128;;129;;123;;114;;114;;103;;95;;76;;66;;60
2016;;;45;;35;;28;;32;;41;;46;;40;;35;;34;;27;;60;;75
2017;;;78;;75;;145;;146;;150;;138;;128;;125;;106;;96;;140;;133
2018;;;132;;118;;122;;160;;155;;137;;140;;111;;102;;120;;143;;143
2019;;;130;;116;;130;;159;;149;;144;;141;;121;;112;;124;;154;;144
2020;;;128;;111;;103;;103;;105;;111;;109;;106;;102;;98;;151;;157
2021;;;148;;130;;125;;119;;187;;181;;146;;148;;133;;148;;167;;154
