C A R - CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA;;;;;;;;;;;;;;;;;;;;;;;;;
SICLICA - Sistema de Información Climatológica e Hidrológica;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VALORES MEDIOS MENSUALES DE NIVELES (cms);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;ESTACIÓN :  2401721  CHALET NORTE;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Latitud;"5° 27' 48,2"" N";;X=N=1095910;;;;Departamento;;;CUNDINAMARCA;;;;;Corriente;;LAG. FÚQUENE;;;Categoría;;;;LM;
Longitud;"73° 46' 8,1"" W";;Y=E=1034200;;;;Municipio;;;FUQUENE;;;;;Cuenca;;LAG. FÚQUENE;;;Fecha Instalación;;;;8/01/1960;
Elevación;2568 m.s.n.m;;;;;;Oficina Provincial;;;14  UBATÉ;;;;;;;;;;Fecha Suspensión;;;; ;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
AÑO;;;ENERO;;FEBRE;;MARZO;;ABRIL;;MAYO;;JUNIO;;JULIO;;AGOST;;SEPTI;;OCTUB;;NOVIE;;DICIE
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
2003;;;;;;;;;93;;114;;;;;;;;;;;;;;
2006;;;148;;127;;124;;120;;246;;208;;158;;130;;115;;119;;;;
2007;;;136;;127;;117;;67;;;;62;;135;;130;;116;;128;;141;;166
2008;;;135;;130;;122;;121;;144;;152;;136;;134;;126;;115;;148;;174
2009;;;143;;136;;124;;134;;119;;125;;130;;123;;123;;121;;138;;133
2010;;;114;;94;;90;;103;;131;;147;;170;;133;;113;;116;;143;;177
2011;;;124;;113;;178;;230;;311;;249;;162;;129;;113;;140;;199;;249
2012;;;179;;133;;116;;192;;193;;146;;130;;137;;125;;124;;134;;142
2013;;;133;;130;;125;;115;;145;;132;;123;;116;;111;;106;;129;;145
2014;;;138;;131;;137;;130;;134;;126;;123;;115;;102;;92;;116;;147
2015;;;139;;134;;126;;127;;119;;107;;109;;100;;86;;71;;63;;51
2016;;;41;;30;;25;;27;;36;;43;;38;;30;;24;;23;;44;;71
2017;;;75;;68;;90;;128;;132;;129;;124;;115;;98;;92;;114;;121
2018;;;124;;113;;108;;142;;140;;128;;127;;106;;98;;105;;133;;135
2019;;;123;;115;;113;;132;;132;;140;;128;;119;;107;;116;;141;;131
2020;;;119;;97;;98;;97;;99;;102;;107;;102;;97;;90;;119;;142
2021;;;136;;121;;116;;110;;158;;162;;144;;142;;126;;130;;153;;142
