C A R - CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA;;;;;;;;;;;;;;;;;;;;;;;;;
SICLICA - Sistema de Información Climatológica e Hidrológica;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VALORES MEDIOS MENSUALES DE NIVELES (cms);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;ESTACIÓN :  2401717  ISLA DEL SANTUARIO;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Latitud;0526 N;;X=N=1095730;;;;Departamento;;;CUNDINAMARCA;;;;;Corriente;;LAG. FÚQUENE;;;Categoría;;;;LM;
Longitud;7348 W;;Y=E=1034320;;;;Municipio;;;FUQUENE;;;;;Cuenca;;LAG. FÚQUENE;;;Fecha Instalación;;;;11-ene;
Elevación;2537 m.s.n.m;;;;;;Oficina Provincial;;;14  UBATÉ;;;;;;;;;;Fecha Suspensión;;;; ;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
AÑO;;;ENERO;;FEBRE;;MARZO;;ABRIL;;MAYO;;JUNIO;;JULIO;;AGOST;;SEPTI;;OCTUB;;NOVIE;;DICIE
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1983;;;3904;;3886;;3877;;3887;;3901;;3910;;3900;;3899;;3892;;3870;;3879;;3897
1984;;;3901;;3909;;3886;;3883;;3890;;3902;;3905;;3907;;3890;;3880;;3878;;3897
1985;;;3896;;3881;;3862;;3864;;3885;;3900;;3896;;3895;;3889;;3910;;;;
1986;;;;;;;3885;;3880;;3868;;3894;;3911;;3901;;3876;;3937;;3974;;3931
1991;;;169;;153;;160;;173;;171;;170;;166;;169;;162;;162;;179;;174
1992;;;164;;153;;137;;130;;129;;117;;101;;89;;76;;69;;69;;106
1993;;;101;;90;;84;;109;;182;;212;;;;;;;;144;;;;
1994;;;;;;;68;;86;;72;;61;;63;;53;;45;;65;;87;;86
1995;;;63;;43;;48;;74;;68;;67;;;;;;;;;;;;
1996;;;61;;66;;76;;69;;71;;71;;75;;68;;68;;72;;60;;76
1997;;;74;;72;;61;;60;;62;;66;;62;;54;;45;;34;;33;;29
1998;;;106;;88;;84;;90;;143;;184;;;;184;;173;;176;;213;;206
1999;;;189;;184;;198;;180;;168;;170;;172;;158;;155;;196;;222;;208
2000;;;165;;159;;156;;157;;154;;148;;161;;151;;153;;153;;167;;157
2001;;;151;;134;;135;;142;;133;;127;;110;;93;;93;;97;;110;;128
2002;;;;;;;;;;;175;;212;;187;;181;;168;;;;173;;162
2003;;;148;;128;;118;;130;;;;;;;;;;;;;;;;
2006;;;149;;138;;142;;125;;248;;208;;159;;131;;;;;;;;
2007;;;137;;128;;118;;125;;121;;131;;136;;131;;118;;128;;142;;141
2008;;;137;;160;;153;;149;;176;;185;;168;;;;157;;147;;179;;205
2009;;;173;;165;;154;;;;154;;160;;161;;165;;153;;;;;;
