C A R - CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA;;;;;;;;;;;;;;;;;;;;;;;;;
SICLICA - Sistema de Información Climatológica e Hidrológica;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VALORES MÍNIMO MENSUALES DE NIVELES (cms);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;ESTACIÓN :  2401717  ISLA DEL SANTUARIO;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Latitud;"5° 28' 4,8"" N";;X=N=1096420;;;;Departamento;;;CUNDINAMARCA;;;;;Corriente;;LAG. FÚQUENE;;;Categoría;;;;LM;
Longitud;"73° 44' 3,9"" W";;Y=E=1038020;;;;Municipio;;;FUQUENE;;;;;Cuenca;;LAG. FÚQUENE;;;Fecha Instalación;;;;11-ene;
Elevación;2560 m.s.n.m;;;;;;Oficina Provincial;;;14  UBATÉ;;;;;;;;;;Fecha Suspensión;;;; ;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
AÑO;;;ENERO;;FEBRE;;MARZO;;ABRIL;;MAYO;;JUNIO;;JULIO;;AGOST;;SEPTI;;OCTUB;;NOVIE;;DICIE
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1983;;;3894;;3878;;3865;;3865;;3613;;3896;;3898;;3895;;3873;;3863;;3874;;3883
1984;;;3899;;3902;;3877;;3872;;3879;;3896;;3899;;3892;;3880;;3873;;3868;;3891
1985;;;3890;;3869;;3860;;3860;;3869;;3896;;3893;;3892;;3878;;3882;;;;
1986;;;;;;;3870;;3869;;3861;;3706;;3906;;3888;;3810;;3888;;3865;;3866
1991;;;160;;145;;145;;167;;164;;168;;164;;167;;155;;158;;157;;169
1992;;;159;;145;;131;;129;;120;;108;;95;;81;;73;;63;;61;;88
1993;;;92;;85;;81;;99;;127;;202;;;;;;;;137;;;;
1994;;;;;;;58;;72;;65;;58;;56;;52;;38;;46;;75;;73
1995;;;55;;34;;31;;69;;63;;64;;;;;;;;;;;;
1996;;;57;;60;;67;;66;;68;;64;;67;;67;;67;;65;;50;;59
1997;;;69;;65;;58;;54;;60;;60;;58;;50;;38;;30;;28;;19
1998;;;95;;84;;82;;83;;98;;178;;;;176;;165;;163;;190;;199
1999;;;171;;175;;178;;167;;164;;168;;161;;155;;151;;171;;205;;180
2000;;;160;;150;;148;;147;;150;;145;;155;;146;;145;;143;;160;;156
2001;;;144;;128;;125;;136;;130;;119;;102;;88;;85;;94;;98;;120
2002;;;;;;;;;;;170;;197;;180;;178;;160;;;;164;;159
2003;;;136;;120;;115;;116;;;;;;;;;;;;;;;;
2006;;;141;;131;;129;;123;;222;;186;;141;;123;;;;;;;;
2007;;;133;;121;;66;;120;;116;;129;;133;;129;;111;;110;;132;;132
2008;;;132;;157;;145;;143;;153;;170;;165;;;;143;;139;;153;;179
2009;;;170;;159;;150;;;;150;;156;;157;;150;;151;;;;;;
