SICLICA - Sistema de Información Climatológica e Hidrológica;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VALORES MÁXIMOS MENSUALES DE NIVELES (cms);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;ESTACIÓN :  2401717  ISLA DEL SANTUARIO;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Latitud;0526 N;;X=N=1095730;;;;Departamento;;;CUNDINAMARCA;;;;;Corriente;;LAG. FÚQUENE;;;Categoría;;;;LM;
Longitud;7348 W;;Y=E=1034320;;;;Municipio;;;FUQUENE;;;;;Cuenca;;LAG. FÚQUENE;;;Fecha Instalación;;;;11-ene;
Elevación;2537 m.s.n.m;;;;;;Oficina Provincial;;;14  UBATÉ;;;;;;;;;;Fecha Suspensión;;;; ;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
AÑO;;;ENERO;;FEBRE;;MARZO;;ABRIL;;MAYO;;JUNIO;;JULIO;;AGOST;;SEPTI;;OCTUB;;NOVIE;;DICIE
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1983;;;3906;;3894;;3890;;3915;;3935;;3927;;3902;;3901;;3895;;3877;;3885;;3902
1985;;;3900;;3890;;3869;;3868;;3897;;3907;;3903;;3897;;3899;;3983;;;;
1986;;;;;;;3907;;3891;;3877;;3914;;3917;;3912;;3888;;3983;;3997;;3971
1991;;;176;;159;;176;;178;;180;;174;;168;;170;;169;;164;;202;;184
1992;;;171;;159;;145;;133;;132;;125;;108;;95;;81;;74;;87;;114
1993;;;106;;95;;99;;125;;223;;220;;;;;;;;152;;;;
1994;;;;;;;81;;96;;83;;66;;70;;56;;52;;84;;106;;106
1995;;;72;;54;;72;;81;;74;;70;;;;;;;;;;;;
1996;;;64;;70;;92;;76;;76;;83;;83;;70;;69;;78;;77;;96
1997;;;78;;82;;65;;74;;70;;70;;65;;58;;51;;38;;38;;36
1998;;;118;;94;;88;;97;;180;;189;;;;192;;185;;186;;224;;215
1999;;;199;;208;;209;;198;;174;;174;;187;;161;;168;;246;;244;;225
2000;;;176;;169;;169;;165;;157;;157;;169;;160;;160;;172;;178;;160
2001;;;157;;144;;148;;148;;136;;133;;119;;102;;99;;99;;119;;135
2002;;;;;;;;;;;195;;227;;196;;184;;181;;;;180;;165
2003;;;158;;136;;124;;153;;;;;;;;;;;;;;;;
2006;;;156;;144;;152;;127;;262;;227;;183;;141;;;;;;;;
2007;;;140;;134;;125;;131;;128;;134;;139;;134;;130;;152;;152;;153
2008;;;140;;163;;163;;159;;210;;210;;174;;;;164;;157;;217;;230
2009;;;178;;179;;163;;;;158;;163;;163;;176;;156;;;;;;
