periodo,par_metro,c_digo,categoria,estaci_n,municipio,departamento,ao,altitud_m,longitud,latitud,ene,feb,mar,abr,may,jun,jul,ago,sep,oct,nov,dic,anual
1961-1990,PRECIPITACIÓN,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,42.6,54.6,106.9,159.5,103.8,60.2,37.1,45.1,70.2,153.5,138.3,67.6,1039.4
1961-1990,No. DE DIAS CON LLUVIA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,5.7,7.7,11.1,15.0,11.9,8.0,6.4,6.8,8.3,14.5,15.9,8.9,120.1
1961-1990,TEMPERATURA MÁXIMA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,22.9,22.7,23.0,22.0,21.0,20.3,20.3,20.8,21.4,21.6,21.7,22.4,21.7
1961-1990,TEMPERATURA MEDIA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,14.7,14.9,15.1,14.8,14.7,14.3,14.0,14.2,14.2,14.2,14.4,14.5,14.5
1961-1990,TEMPERATURA MÍNIMA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,8.6,9.2,9.6,10.3,10.3,9.8,9.3,9.3,9.2,9.7,9.9,8.9,9.5
1971-2000,PRECIPITACIÓN,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,55.8,60.8,129.9,153.8,115.4,51.8,42.3,48.7,80.1,159.7,140.4,86.5,1125.1
1971-2000,No. DE DIAS CON LLUVIA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,6.4,8.6,13.2,15.0,12.8,7.8,7.0,7.5,9.6,14.6,16.2,9.6,128.4
1971-2000,TEMPERATURA MÁXIMA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,22.1,22.1,21.7,21.4,20.2,20.0,19.7,19.9,20.8,21.1,21.1,21.6,21.0
1971-2000,TEMPERATURA MEDIA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,14.7,14.9,15.0,14.8,14.8,14.4,14.1,14.1,14.2,14.2,14.3,14.5,14.5
1971-2000,TEMPERATURA MÍNIMA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,8.8,9.4,9.8,10.4,10.3,9.9,9.4,9.4,9.2,9.6,10.0,9.1,9.6
1981-2010,PRECIPITACIÓN,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,57.5,64.2,128.0,151.1,119.8,44.4,48.5,39.3,73.5,158.4,149.9,98.0,1132.5
1981-2010,No. DE DIAS CON LLUVIA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,6.9,9.0,13.1,15.0,13.4,7.7,7.3,7.1,9.3,14.7,15.9,10.2,129.5
1981-2010,TEMPERATURA MÁXIMA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,22.4,22.4,22.1,21.3,20.6,20.0,19.9,20.2,21.0,21.2,21.2,21.7,21.2
1981-2010,TEMPERATURA MEDIA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,14.6,14.8,14.9,14.8,14.7,14.4,14.1,14.1,14.2,14.2,14.4,14.5,14.5
1981-2010,TEMPERATURA MÍNIMA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,8.6,9.1,9.6,10.3,10.3,9.9,9.4,9.3,9.1,9.5,9.9,9.1,9.5
1991-2020,PRECIPITACIÓN,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,59.3,64.7,135.7,147.8,120.9,47.6,44.7,34.6,58.2,137.8,170.5,103.3,1125.0
1991-2020,No. DE DIAS CON LLUVIA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,7.2,9.1,14.0,14.9,13.3,8.4,7.2,6.5,8.1,13.5,16.0,10.5,128.7
1991-2020,TEMPERATURA MÁXIMA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,22.4,22.7,22.1,21.6,20.9,20.3,20.1,20.5,21.3,21.5,21.4,21.8,21.4
1991-2020,TEMPERATURA MEDIA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,14.6,14.9,14.9,14.9,14.9,14.6,14.3,14.3,14.4,14.4,14.5,14.5,14.6
1991-2020,TEMPERATURA MÍNIMA,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,8.3,8.9,9.7,10.2,10.3,9.9,9.4,9.3,9.0,9.4,9.9,9.0,9.5
1991-2020,BRILLO SOLAR,24015120,CP,Isla del Santuario,Fúquene,Cundinamarca,11,2580,-73.73,5.47,7.2,6.7,5.4,4.4,4.3,4.8,5.2,5.3,5.1,5.0,5.0,6.3,5.4
