C A R - CORPORACIÓN AUTÓNOMA REGIONAL DE CUNDINAMARCA;;;;;;;;;;;;;;;;;;;;;;;;;
SICLICA - Sistema de Información Climatológica e Hidrológica;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
VALORES MENSUALES DE DIRECCIÓN PREDOMINANTE Y VELOCIDAD MEDIA DEL VIENTO (m/seg);;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;ESTACIÓN :  2401531  SAN MIGUEL DE SEMA;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Latitud;0531 N;;X=N=1102290;;;;Departamento;;;BOYACA;;;;;Corriente;;R. FUNZA;;;Categoría;;;;CP;
Longitud;4343 W;;Y=E=1040620;;;;Municipio;;;SAN MIGUEL DE SE;;;;;Cuenca;;LAG. FÚQUENE;;;Fecha Instalación;;;;4-ene;
Elevación;2600 m.s.n.m;;;;;;Oficina Provincial;;;5  CHIQUINQUIRÁ;;;;;;;;;;Fecha Suspensión;;;; ;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
AÑO;;;ENERO;;FEBRE;;MARZO;;ABRIL;;MAYO;;JUNIO;;JULIO;;AGOST;;SEPTI;;OCTUB;;NOVIE;;DICIE
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
1991;;N ;2,2;N ;2,3;E ;1,9;W ;2,1;W ;2,2;;;;;S ;2,8;W ;2,5;S ;2,4;E ;1,9;E ;2
1992;;;;SW;2,4;NE;2,4;NE;2,1;SW;2,2;SE;3;SE;3;SE;3;SW;2,6;S ;2,7;E ;2,1;NE;2,2
1993;;S ;2,5;E ;2,1;E ;2,3;S ;2,1;W ;2;S ;2,8;N ;2,6;N ;2,9;N ;2,7;S ;2,5;E ;2;S ;2,3
1994;;E ;2,3;S ;2,3;E ;2,3;N ;2,3;N ;2,2;N ;2,7;N ;2,8;S ;2,8;N ;2,7;N ;2,2;S ;2;N ;2,4
1995;;N ;2,5;NE;2,5;SE;2,2;N ;2,1;N ;2,4;S ;2,4;N ;2,3;NE;2;SW;2,6;NE;2,1;;;SW;2
1996;;E ;2;E ;2,3;N ;2;N ;2,2;;;S ;2,2;S ;2,6;;;;;NE;2,2;;;NE;2,4
1997;;NE;2;S ;2,7;NE;2,3;E ;2,2;S ;2,6;;;E ;3;SE;3;S ;2,5;NE;2,2;S ;2;NE;2,2
1998;;;;;;;;;;;;NE;2,4;S ;2,1;SW;2,3;SW;2;E ;2;E ;1,8;;
1999;;E ;1,9;S ;1,7;E ;1,9;SW;2;NE;1,5;NE;1,3;SW;1,6;SW;1,5;SW;1;NE;1,1;NE;1;;
2000;;N ;1,1;N ;1,4;N ;1,3;N ;1,7;N ;1,5;N ;1,7;N ;1,9;N ;1,9;N ;1,7;N ;1,6;E ;1,2;E ;1,4
2001;;W ;1,2;E ;1,5;N ;1,2;S ;1,5;N ;1,7;N ;1,7;N ;1,7;N ;1,8;N ;1,8;N ;2;N ;2;N ;2
2003;;N ;1,6;N ;1,8;N ;1,9;N ;1,8;N ;1,8;N ;1,8;N ;1,8;N ;2;N ;2,2;N ;2,1;N ;2;N ;1,6
2004;;NW;1,6;;;W ;1,6;S ;1,5;SW;1,6;S ;1,7;SW;1,7;S ;1,6;SW;1,6;;;NE;1,7;SW;1,6
2005;;;;W ;1,6;N ;2,8;SW;1,7;SW;1,7;SW;1,6;SW;1,7;SW;1,7;SW;1,7;SW;1,7;NE;1,6;NE;1,7
2006;;;;SW;2,2;SW;2,2;NE;1,7;SW;2,2;SW;2,3;SW;2,6;SW;2,6;SW;2,5;SW;2,4;SW;2;SW;2,1
2007;;SW;2,4;SW;2,3;SW;2,2;SW;2;SW;2;;;;;SW;2,1;SW;2,4;SW;1,9;SW;2;SW;1,9
2008;;SW;2,2;SW;2,2;SW;2,1;SW;2;SW;2;SW;2,2;SW;2,3;SW;2,1;SW;2,2;SW;1,9;NE;1,7;SW;1,9
2009;;SW;2;SW;2;SW;2;SW;2,2;SW;2,2;;;;;SW;2,3;SW;2,8;SW;2,2;SW;2;SW;2,1
2010;;SW;2,3;SW;2,2;SW;2,2;SW;1,9;SW;1,9;SW;2,1;SW;1,8;SW;2;SW;1,8;NE;1,8;NE;1,7;NE;1,7
2011;;SW;1,9;SW;1,9;NE;1,9;SW;1,8;SW;2;SW;2,2;SW;2,3;SW;2,2;SW;2,2;NE;1,7;NE;1,7;NE;1,8
2012;;SW;2;SW;1,9;SW;2;S ;1,9;S ;2,4;S ;1,8;;;;;S ;2,4;S ;2,2;S ;1,9;SW;2
2013;;SW;2,3;S ;2,1;S ;2,1;S ;2,4;;;;;;;SW;2,3;S ;2,7;W ;2,1;W ;1,6;W ;1,9
2014;;W ;1,9;SW;1,9;W ;2;SW;2,3;W ;2;S ;2,3;S ;2,4;;;;;;;;;;
